text,label
"推荐川菜",recommend_cuisine
"帮我推荐几个粤菜",recommend_cuisine
"想吃湘菜，有什么推荐",recommend_cuisine
"推荐一些鲁菜吧",recommend_cuisine
"有推荐的本帮菜吗",recommend_cuisine
"我想吃淮扬菜",recommend_cuisine
"推荐几道东北菜",recommend_cuisine
"给我推荐几样川菜",recommend_cuisine
"有推荐的清淡粤菜吗",recommend_cuisine
"推荐点特色的川菜",recommend_cuisine
"想试试徽菜，推荐一下",recommend_cuisine
"有没有推荐的潮汕菜",recommend_cuisine
"推荐几个适合家庭吃的湘菜",recommend_cuisine
"我想尝试川菜，推荐一下",recommend_cuisine
"请推荐一些辣味川菜",recommend_cuisine
"有什么辣菜推荐",search_flavor
"来点不辣的菜吧",search_flavor
"我要吃清淡的",search_flavor
"有没有酸甜口味的菜",search_flavor
"我想吃点麻辣的菜",search_flavor
"推荐几道甜味的菜",search_flavor
"有咸香的菜吗",search_flavor
"想吃口味偏淡的",search_flavor
"我要酸酸的菜",search_flavor
"找点香辣的菜推荐",search_flavor
"我要咸味的菜",search_flavor
"推荐点甜口的",search_flavor
"我要吃辣的！",search_flavor
"来点咸香口味的",search_flavor
"不想吃太咸的菜",search_flavor
"有什么含鸡肉的菜",search_ingredient
"推荐些有豆腐的菜",search_ingredient
"有没有带牛肉的菜",search_ingredient
"我想吃含虾仁的",search_ingredient
"找点带蘑菇的菜",search_ingredient
"有没有鱼肉的菜",search_ingredient
"推荐含鸡蛋的菜",search_ingredient
"含猪肉的菜有哪些",search_ingredient
"给我推荐带花菜的菜",search_ingredient
"我想要豆芽炒菜",search_ingredient
"有没有青椒做的菜",search_ingredient
"我爱吃含茄子的菜",search_ingredient
"想找含虾的",search_ingredient
"带香菇的菜推荐",search_ingredient
"有鸡胸肉做的菜吗",search_ingredient
"我不吃辣",diet_restriction
"别推荐辣的菜",diet_restriction
"请避开花生的菜",diet_restriction
"我要无辣无刺激的",diet_restriction
"不能含牛奶",diet_restriction
"我对海鲜过敏",diet_restriction
"不要推荐含鸡蛋的菜",diet_restriction
"请不要有芝麻",diet_restriction
"我忌口，不吃花生",diet_restriction
"别推荐有辣椒的菜",diet_restriction
"我不吃香菜",diet_restriction
"不能吃含豆制品的",diet_restriction
"请排除牛肉",diet_restriction
"请排除羊肉",diet_restriction
"我要纯素的菜",diet_restriction
"退出",exit
"我不想点菜了",exit
"结束点餐",exit
"关闭推荐",exit
"算了，不吃了",exit
"退出程序",exit
"我不点菜了",exit
"不用了，谢谢",exit
"取消点菜",exit
"再见，退出",exit
"退出点餐",exit
"不需要推荐了",exit
"没事了，退出",exit
"退出系统",exit
"结束了，谢谢",exit
"天气真好啊",unknown
"你好呀",unknown
"今天几点了",unknown
"帮我看看电影",unknown
"我在等外卖",unknown
"今天天气不错",unknown
"我要听一首歌",unknown
"打开导航",unknown
"你是谁",unknown
"播放一首流行音乐",unknown
"查询天气",unknown
"打开微信",unknown
"推荐小说",unknown
"看一下新闻",unknown
"启动闹钟",unknown

